Tempat_Makan,Biaya,Jarak_Meter,Rating_Rasa,Rating_Nyaman,Wifi_Score,Colokan_Score,Waktu_Score,Cluster,Fuzzy_Score
Adat Kos,18000.0,2468.75,4.0,3.0625,0.0,0.0,1.0625,2,21.62698412698412
Ayam Geprek Sai,13466.666666666666,1400.0,4.0,4.0,0.0,0.0,2.0,2,87.02380952380955
Bakso Solo,12285.714285714286,1800.0,4.0,3.0,0.0,0.0,2.0,2,87.02380952380955
Bakso Solo (Jl. Sumatera),12000.0,1800.0,4.0,3.0,0.0,0.0,2.0,2,87.02380952380955
Barokah,10000.0,5000.0,5.0,3.0,0.0,0.0,2.0,0,85.00000000000027
Belakang Polije,6000.0,3000.0,4.0,2.0,0.0,0.0,2.0,2,46.15079365079366
Excelso,25000.0,2200.0,4.0,5.0,2.0,2.0,0.0,1,38.49479097615837
Excelso Express (Perpus),18000.0,1100.0,4.0,5.0,2.0,2.0,1.0,1,86.78571428571429
Garahan,8000.0,300.0,3.0,3.0,0.0,0.0,2.0,2,90.00000000000003
Geprek Lek Djo,15000.0,2700.0,5.0,2.0,0.0,0.0,2.0,0,50.0
Geprek Uye,10235.29411764706,1423.5294117647059,4.0588235294117645,3.1176470588235294,0.0,0.0,1.9411764705882353,2,87.56345837303995
Gudeg Lumintu,25000.0,3200.0,5.0,5.0,2.0,2.0,0.0,1,59.99999999999999
Kantin Fasilkom,10176.470588235294,0.0,3.1176470588235294,2.9411764705882355,1.0588235294117647,1.0,1.1764705882352942,2,90.00000000000003
Kantin Perpus Unej,15470.588235294117,682.3529411764706,4.117647058823529,4.764705882352941,1.0,0.8823529411764706,1.0,2,88.07042382170258
Kfc Gajah Mada,38200.0,2593.3333333333335,5.0,5.0,2.0,2.0,1.9333333333333333,1,59.99999999999999
Kopi Kenangan,19200.0,900.0,4.0,5.0,2.0,2.0,0.0,1,87.02380952380955
Kopi Kenangan (Jl. Jawa),20000.0,900.0,4.0,5.0,2.0,2.0,0.0,1,87.02380952380955
Kulos,13954.545454545454,2936.3636363636365,4.045454545454546,4.045454545454546,1.0454545454545454,2.0,0.9545454545454546,1,52.79833209777274
Lalapan Cak Riyadi,14357.142857142857,471.42857142857144,5.0,3.0,0.0,0.0,2.0,0,86.54285714285714
Lalapan Cinta Mastrip,11000.0,650.0,4.0,3.0,0.0,0.0,2.0,2,90.00000000000003
Legacy Coffee,20909.090909090908,2600.0,4.909090909090909,5.0,2.0,2.0,0.2727272727272727,1,59.99999999999999
Mie Apong,17000.0,1300.0,5.0,4.0,0.0,0.0,1.0,0,50.0
Mie Apong (Jl. Sumatera),17000.0,1300.0,5.0,4.0,0.0,0.0,1.0,0,50.0
Mie Gacoan (Sumatera),15357.142857142857,1200.0,5.0,4.0,0.0,0.0,1.0,0,50.0
Nasi Padang Riau,9000.0,3200.0,4.0,4.0,0.0,1.0,2.0,2,46.15079365079366
Pak Os,10000.0,3000.0,5.0,5.0,0.0,0.0,1.0,0,85.00000000000027
Pizza Hut Delivery,28000.0,2200.0,5.0,5.0,2.0,1.0,1.0,1,59.99999999999999
Pizza Hut Delivery (Sumatera),28000.0,2200.0,5.0,5.0,2.0,1.0,1.0,1,59.99999999999999
Rocket Chicken,13000.0,350.0,4.0,3.0,0.0,0.0,2.0,2,89.1666666666667
Seblak Bloom,12062.5,853.125,4.0,4.0,1.0,1.0,1.0,2,89.84428879310346
Solaria Roxy,35800.0,3800.0,5.0,5.0,2.0,2.0,1.0,1,59.99999999999999
Soto Ayam Lamongan,13000.0,600.0,4.0,3.0,0.0,0.0,2.0,2,89.1666666666667
Soto Ayam Lamongan (Kalimantan),11000.0,500.0,4.5,3.0,0.0,0.0,2.0,0,90.00000000000003
Warkop Wolu Pitu,15000.0,750.0,4.0,4.0,1.0,1.0,1.0,2,87.02380952380955
Warteg Kharisma,13000.0,2500.0,4.0,4.0,0.0,0.0,2.0,2,46.15079365079366
Warung Barokah,7947.368421052632,1100.0,3.1052631578947367,3.0526315789473686,0.0,0.0,2.0,2,86.78571428571429
Warung Bu Jutek,15000.0,700.0,5.0,2.0,0.0,0.0,2.0,0,85.00000000000027
Warung Bu Sherly/Warung Pojok,12138.888888888889,1236.111111111111,5.0,3.0555555555555554,0.0,0.0,2.0,0,85.00000000000027
Warung Ijo Nias,10909.09090909091,1500.0,4.2727272727272725,2.0,0.0,0.0,2.0,0,89.20422714540369
Warung Kuning,10000.0,500.0,4.0,5.0,0.0,0.0,2.0,2,90.00000000000003
Warung Ndelik,10000.0,1000.0,5.0,2.0,0.0,0.0,2.0,0,88.33333333333333
Warung Tegal (Depan Unej),9285.714285714286,500.0,3.0,3.0,0.0,0.0,2.0,2,90.00000000000003
